PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeCategory
1,0,3,1,22.0,1,0,7.25,3,2
2,1,1,2,38.0,1,0,71.2833,1,3
3,1,3,2,26.0,0,0,7.925,3,2
4,1,1,2,35.0,1,0,53.1,3,3
5,0,3,1,35.0,0,0,8.05,3,3
6,0,3,1,,0,0,8.4583,2,0
7,0,1,1,54.0,0,0,51.8625,3,3
8,0,3,1,2.0,3,1,21.075,3,1
9,1,3,2,27.0,0,2,11.1333,3,2
10,1,2,2,14.0,1,0,30.0708,1,1
11,1,3,2,4.0,1,1,16.7,3,1
12,1,1,2,58.0,0,0,26.55,3,3
13,0,3,1,20.0,0,0,8.05,3,2
14,0,3,1,39.0,1,5,31.275,3,3
15,0,3,2,14.0,0,0,7.8542,3,1
16,1,2,2,55.0,0,0,16.0,3,3
17,0,3,1,2.0,4,1,29.125,2,1
18,1,2,1,,0,0,13.0,3,0
19,0,3,2,31.0,1,0,18.0,3,2
20,1,3,2,,0,0,7.225,1,0
21,0,2,1,35.0,0,0,26.0,3,3
22,1,2,1,34.0,0,0,13.0,3,2
23,1,3,2,15.0,0,0,8.0292,2,2
24,1,1,1,28.0,0,0,35.5,3,2
25,0,3,2,8.0,3,1,21.075,3,1
26,1,3,2,38.0,1,5,31.3875,3,3
27,0,3,1,,0,0,7.225,1,0
28,0,1,1,19.0,3,2,263.0,3,2
29,1,3,2,,0,0,7.8792,2,0
30,0,3,1,,0,0,7.8958,3,0
31,0,1,1,40.0,0,0,27.7208,1,3
32,1,1,2,,1,0,146.5208,1,0
33,1,3,2,,0,0,7.75,2,0
34,0,2,1,66.0,0,0,10.5,3,4
35,0,1,1,28.0,1,0,82.1708,1,2
36,0,1,1,42.0,1,0,52.0,3,3
37,1,3,1,,0,0,7.2292,1,0
38,0,3,1,21.0,0,0,8.05,3,2
39,0,3,2,18.0,2,0,18.0,3,2
40,1,3,2,14.0,1,0,11.2417,1,1
41,0,3,2,40.0,1,0,9.475,3,3
42,0,2,2,27.0,1,0,21.0,3,2
43,0,3,1,,0,0,7.8958,1,0
44,1,2,2,3.0,1,2,41.5792,1,1
45,1,3,2,19.0,0,0,7.8792,2,2
46,0,3,1,,0,0,8.05,3,0
47,0,3,1,,1,0,15.5,2,0
48,1,3,2,,0,0,7.75,2,0
49,0,3,1,,2,0,21.6792,1,0
50,0,3,2,18.0,1,0,17.8,3,2
51,0,3,1,7.0,4,1,39.6875,3,1
52,0,3,1,21.0,0,0,7.8,3,2
53,1,1,2,49.0,1,0,76.7292,1,3
54,1,2,2,29.0,1,0,26.0,3,2
55,0,1,1,65.0,0,1,61.9792,1,4
56,1,1,1,,0,0,35.5,3,0
57,1,2,2,21.0,0,0,10.5,3,2
58,0,3,1,28.5,0,0,7.2292,1,2
59,1,2,2,5.0,1,2,27.75,3,1
60,0,3,1,11.0,5,2,46.9,3,1
61,0,3,1,22.0,0,0,7.2292,1,2
62,1,1,2,38.0,0,0,80.0,0,3
63,0,1,1,45.0,1,0,83.475,3,3
64,0,3,1,4.0,3,2,27.9,3,1
65,0,1,1,,0,0,27.7208,1,0
66,1,3,1,,1,1,15.2458,1,0
67,1,2,2,29.0,0,0,10.5,3,2
68,0,3,1,19.0,0,0,8.1583,3,2
69,1,3,2,17.0,4,2,7.925,3,2
70,0,3,1,26.0,2,0,8.6625,3,2
71,0,2,1,32.0,0,0,10.5,3,2
72,0,3,2,16.0,5,2,46.9,3,2
73,0,2,1,21.0,0,0,73.5,3,2
74,0,3,1,26.0,1,0,14.4542,1,2
75,1,3,1,32.0,0,0,56.4958,3,2
76,0,3,1,25.0,0,0,7.65,3,2
77,0,3,1,,0,0,7.8958,3,0
78,0,3,1,,0,0,8.05,3,0
79,1,2,1,0.83,0,2,29.0,3,1
80,1,3,2,30.0,0,0,12.475,3,2
81,0,3,1,22.0,0,0,9.0,3,2
82,1,3,1,29.0,0,0,9.5,3,2
83,1,3,2,,0,0,7.7875,2,0
84,0,1,1,28.0,0,0,47.1,3,2
85,1,2,2,17.0,0,0,10.5,3,2
86,1,3,2,33.0,3,0,15.85,3,2
87,0,3,1,16.0,1,3,34.375,3,2
88,0,3,1,,0,0,8.05,3,0
89,1,1,2,23.0,3,2,263.0,3,2
90,0,3,1,24.0,0,0,8.05,3,2
91,0,3,1,29.0,0,0,8.05,3,2
92,0,3,1,20.0,0,0,7.8542,3,2
93,0,1,1,46.0,1,0,61.175,3,3
94,0,3,1,26.0,1,2,20.575,3,2
95,0,3,1,59.0,0,0,7.25,3,3
96,0,3,1,,0,0,8.05,3,0
97,0,1,1,71.0,0,0,34.6542,1,4
98,1,1,1,23.0,0,1,63.3583,1,2
99,1,2,2,34.0,0,1,23.0,3,2
100,0,2,1,34.0,1,0,26.0,3,2
101,0,3,2,28.0,0,0,7.8958,3,2
102,0,3,1,,0,0,7.8958,3,0
103,0,1,1,21.0,0,1,77.2875,3,2
104,0,3,1,33.0,0,0,8.6542,3,2
105,0,3,1,37.0,2,0,7.925,3,3
106,0,3,1,28.0,0,0,7.8958,3,2
107,1,3,2,21.0,0,0,7.65,3,2
108,1,3,1,,0,0,7.775,3,0
109,0,3,1,38.0,0,0,7.8958,3,3
110,1,3,2,,1,0,24.15,2,0
111,0,1,1,47.0,0,0,52.0,3,3
112,0,3,2,14.5,1,0,14.4542,1,1
113,0,3,1,22.0,0,0,8.05,3,2
114,0,3,2,20.0,1,0,9.825,3,2
115,0,3,2,17.0,0,0,14.4583,1,2
116,0,3,1,21.0,0,0,7.925,3,2
117,0,3,1,70.5,0,0,7.75,2,4
118,0,2,1,29.0,1,0,21.0,3,2
119,0,1,1,24.0,0,1,247.5208,1,2
120,0,3,2,2.0,4,2,31.275,3,1
121,0,2,1,21.0,2,0,73.5,3,2
122,0,3,1,,0,0,8.05,3,0
123,0,2,1,32.5,1,0,30.0708,1,2
124,1,2,2,32.5,0,0,13.0,3,2
125,0,1,1,54.0,0,1,77.2875,3,3
126,1,3,1,12.0,1,0,11.2417,1,1
127,0,3,1,,0,0,7.75,2,0
128,1,3,1,24.0,0,0,7.1417,3,2
129,1,3,2,,1,1,22.3583,1,0
130,0,3,1,45.0,0,0,6.975,3,3
131,0,3,1,33.0,0,0,7.8958,1,2
132,0,3,1,20.0,0,0,7.05,3,2
133,0,3,2,47.0,1,0,14.5,3,3
134,1,2,2,29.0,1,0,26.0,3,2
135,0,2,1,25.0,0,0,13.0,3,2
136,0,2,1,23.0,0,0,15.0458,1,2
137,1,1,2,19.0,0,2,26.2833,3,2
138,0,1,1,37.0,1,0,53.1,3,3
139,0,3,1,16.0,0,0,9.2167,3,2
140,0,1,1,24.0,0,0,79.2,1,2
141,0,3,2,,0,2,15.2458,1,0
142,1,3,2,22.0,0,0,7.75,3,2
143,1,3,2,24.0,1,0,15.85,3,2
144,0,3,1,19.0,0,0,6.75,2,2
145,0,2,1,18.0,0,0,11.5,3,2
146,0,2,1,19.0,1,1,36.75,3,2
147,1,3,1,27.0,0,0,7.7958,3,2
148,0,3,2,9.0,2,2,34.375,3,1
149,0,2,1,36.5,0,2,26.0,3,3
150,0,2,1,42.0,0,0,13.0,3,3
151,0,2,1,51.0,0,0,12.525,3,3
152,1,1,2,22.0,1,0,66.6,3,2
153,0,3,1,55.5,0,0,8.05,3,3
154,0,3,1,40.5,0,2,14.5,3,3
155,0,3,1,,0,0,7.3125,3,0
156,0,1,1,51.0,0,1,61.3792,1,3
157,1,3,2,16.0,0,0,7.7333,2,2
158,0,3,1,30.0,0,0,8.05,3,2
159,0,3,1,,0,0,8.6625,3,0
160,0,3,1,,8,2,69.55,3,0
161,0,3,1,44.0,0,1,16.1,3,3
162,1,2,2,40.0,0,0,15.75,3,3
163,0,3,1,26.0,0,0,7.775,3,2
164,0,3,1,17.0,0,0,8.6625,3,2
165,0,3,1,1.0,4,1,39.6875,3,1
166,1,3,1,9.0,0,2,20.525,3,1
167,1,1,2,,0,1,55.0,3,0
168,0,3,2,45.0,1,4,27.9,3,3
169,0,1,1,,0,0,25.925,3,0
170,0,3,1,28.0,0,0,56.4958,3,2
171,0,1,1,61.0,0,0,33.5,3,3
172,0,3,1,4.0,4,1,29.125,2,1
173,1,3,2,1.0,1,1,11.1333,3,1
174,0,3,1,21.0,0,0,7.925,3,2
175,0,1,1,56.0,0,0,30.6958,1,3
176,0,3,1,18.0,1,1,7.8542,3,2
177,0,3,1,,3,1,25.4667,3,0
178,0,1,2,50.0,0,0,28.7125,1,3
179,0,2,1,30.0,0,0,13.0,3,2
180,0,3,1,36.0,0,0,0.0,3,3
181,0,3,2,,8,2,69.55,3,0
182,0,2,1,,0,0,15.05,1,0
183,0,3,1,9.0,4,2,31.3875,3,1
184,1,2,1,1.0,2,1,39.0,3,1
185,1,3,2,4.0,0,2,22.025,3,1
186,0,1,1,,0,0,50.0,3,0
187,1,3,2,,1,0,15.5,2,0
188,1,1,1,45.0,0,0,26.55,3,3
189,0,3,1,40.0,1,1,15.5,2,3
190,0,3,1,36.0,0,0,7.8958,3,3
191,1,2,2,32.0,0,0,13.0,3,2
192,0,2,1,19.0,0,0,13.0,3,2
193,1,3,2,19.0,1,0,7.8542,3,2
194,1,2,1,3.0,1,1,26.0,3,1
195,1,1,2,44.0,0,0,27.7208,1,3
196,1,1,2,58.0,0,0,146.5208,1,3
197,0,3,1,,0,0,7.75,2,0
198,0,3,1,42.0,0,1,8.4042,3,3
199,1,3,2,,0,0,7.75,2,0
200,0,2,2,24.0,0,0,13.0,3,2
201,0,3,1,28.0,0,0,9.5,3,2
202,0,3,1,,8,2,69.55,3,0
203,0,3,1,34.0,0,0,6.4958,3,2
204,0,3,1,45.5,0,0,7.225,1,3
205,1,3,1,18.0,0,0,8.05,3,2
206,0,3,2,2.0,0,1,10.4625,3,1
207,0,3,1,32.0,1,0,15.85,3,2
208,1,3,1,26.0,0,0,18.7875,1,2
209,1,3,2,16.0,0,0,7.75,2,2
210,1,1,1,40.0,0,0,31.0,1,3
211,0,3,1,24.0,0,0,7.05,3,2
212,1,2,2,35.0,0,0,21.0,3,3
213,0,3,1,22.0,0,0,7.25,3,2
214,0,2,1,30.0,0,0,13.0,3,2
215,0,3,1,,1,0,7.75,2,0
216,1,1,2,31.0,1,0,113.275,1,2
217,1,3,2,27.0,0,0,7.925,3,2
218,0,2,1,42.0,1,0,27.0,3,3
219,1,1,2,32.0,0,0,76.2917,1,2
220,0,2,1,30.0,0,0,10.5,3,2
221,1,3,1,16.0,0,0,8.05,3,2
222,0,2,1,27.0,0,0,13.0,3,2
223,0,3,1,51.0,0,0,8.05,3,3
224,0,3,1,,0,0,7.8958,3,0
225,1,1,1,38.0,1,0,90.0,3,3
226,0,3,1,22.0,0,0,9.35,3,2
227,1,2,1,19.0,0,0,10.5,3,2
228,0,3,1,20.5,0,0,7.25,3,2
229,0,2,1,18.0,0,0,13.0,3,2
230,0,3,2,,3,1,25.4667,3,0
231,1,1,2,35.0,1,0,83.475,3,3
232,0,3,1,29.0,0,0,7.775,3,2
233,0,2,1,59.0,0,0,13.5,3,3
234,1,3,2,5.0,4,2,31.3875,3,1
235,0,2,1,24.0,0,0,10.5,3,2
236,0,3,2,,0,0,7.55,3,0
237,0,2,1,44.0,1,0,26.0,3,3
238,1,2,2,8.0,0,2,26.25,3,1
239,0,2,1,19.0,0,0,10.5,3,2
240,0,2,1,33.0,0,0,12.275,3,2
241,0,3,2,,1,0,14.4542,1,0
242,1,3,2,,1,0,15.5,2,0
243,0,2,1,29.0,0,0,10.5,3,2
244,0,3,1,22.0,0,0,7.125,3,2
245,0,3,1,30.0,0,0,7.225,1,2
246,0,1,1,44.0,2,0,90.0,2,3
247,0,3,2,25.0,0,0,7.775,3,2
248,1,2,2,24.0,0,2,14.5,3,2
249,1,1,1,37.0,1,1,52.5542,3,3
250,0,2,1,54.0,1,0,26.0,3,3
251,0,3,1,,0,0,7.25,3,0
252,0,3,2,29.0,1,1,10.4625,3,2
253,0,1,1,62.0,0,0,26.55,3,3
254,0,3,1,30.0,1,0,16.1,3,2
255,0,3,2,41.0,0,2,20.2125,3,3
256,1,3,2,29.0,0,2,15.2458,1,2
257,1,1,2,,0,0,79.2,1,0
258,1,1,2,30.0,0,0,86.5,3,2
259,1,1,2,35.0,0,0,512.3292,1,3
260,1,2,2,50.0,0,1,26.0,3,3
261,0,3,1,,0,0,7.75,2,0
262,1,3,1,3.0,4,2,31.3875,3,1
263,0,1,1,52.0,1,1,79.65,3,3
264,0,1,1,40.0,0,0,0.0,3,3
265,0,3,2,,0,0,7.75,2,0
266,0,2,1,36.0,0,0,10.5,3,3
267,0,3,1,16.0,4,1,39.6875,3,2
268,1,3,1,25.0,1,0,7.775,3,2
269,1,1,2,58.0,0,1,153.4625,3,3
270,1,1,2,35.0,0,0,135.6333,3,3
271,0,1,1,,0,0,31.0,3,0
272,1,3,1,25.0,0,0,0.0,3,2
273,1,2,2,41.0,0,1,19.5,3,3
274,0,1,1,37.0,0,1,29.7,1,3
275,1,3,2,,0,0,7.75,2,0
276,1,1,2,63.0,1,0,77.9583,3,3
277,0,3,2,45.0,0,0,7.75,3,3
278,0,2,1,,0,0,0.0,3,0
279,0,3,1,7.0,4,1,29.125,2,1
280,1,3,2,35.0,1,1,20.25,3,3
281,0,3,1,65.0,0,0,7.75,2,4
282,0,3,1,28.0,0,0,7.8542,3,2
283,0,3,1,16.0,0,0,9.5,3,2
284,1,3,1,19.0,0,0,8.05,3,2
285,0,1,1,,0,0,26.0,3,0
286,0,3,1,33.0,0,0,8.6625,1,2
287,1,3,1,30.0,0,0,9.5,3,2
288,0,3,1,22.0,0,0,7.8958,3,2
289,1,2,1,42.0,0,0,13.0,3,3
290,1,3,2,22.0,0,0,7.75,2,2
291,1,1,2,26.0,0,0,78.85,3,2
292,1,1,2,19.0,1,0,91.0792,1,2
293,0,2,1,36.0,0,0,12.875,1,3
294,0,3,2,24.0,0,0,8.85,3,2
295,0,3,1,24.0,0,0,7.8958,3,2
296,0,1,1,,0,0,27.7208,1,0
297,0,3,1,23.5,0,0,7.2292,1,2
298,0,1,2,2.0,1,2,151.55,3,1
299,1,1,1,,0,0,30.5,3,0
300,1,1,2,50.0,0,1,247.5208,1,3
301,1,3,2,,0,0,7.75,2,0
302,1,3,1,,2,0,23.25,2,0
303,0,3,1,19.0,0,0,0.0,3,2
304,1,2,2,,0,0,12.35,2,0
305,0,3,1,,0,0,8.05,3,0
306,1,1,1,0.92,1,2,151.55,3,1
307,1,1,2,,0,0,110.8833,1,0
308,1,1,2,17.0,1,0,108.9,1,2
309,0,2,1,30.0,1,0,24.0,1,2
310,1,1,2,30.0,0,0,56.9292,1,2
311,1,1,2,24.0,0,0,83.1583,1,2
312,1,1,2,18.0,2,2,262.375,1,2
313,0,2,2,26.0,1,1,26.0,3,2
314,0,3,1,28.0,0,0,7.8958,3,2
315,0,2,1,43.0,1,1,26.25,3,3
316,1,3,2,26.0,0,0,7.8542,3,2
317,1,2,2,24.0,1,0,26.0,3,2
318,0,2,1,54.0,0,0,14.0,3,3
319,1,1,2,31.0,0,2,164.8667,3,2
320,1,1,2,40.0,1,1,134.5,1,3
321,0,3,1,22.0,0,0,7.25,3,2
322,0,3,1,27.0,0,0,7.8958,3,2
323,1,2,2,30.0,0,0,12.35,2,2
324,1,2,2,22.0,1,1,29.0,3,2
325,0,3,1,,8,2,69.55,3,0
326,1,1,2,36.0,0,0,135.6333,1,3
327,0,3,1,61.0,0,0,6.2375,3,3
328,1,2,2,36.0,0,0,13.0,3,3
329,1,3,2,31.0,1,1,20.525,3,2
330,1,1,2,16.0,0,1,57.9792,1,2
331,1,3,2,,2,0,23.25,2,0
332,0,1,1,45.5,0,0,28.5,3,3
333,0,1,1,38.0,0,1,153.4625,3,3
334,0,3,1,16.0,2,0,18.0,3,2
335,1,1,2,,1,0,133.65,3,0
336,0,3,1,,0,0,7.8958,3,0
337,0,1,1,29.0,1,0,66.6,3,2
338,1,1,2,41.0,0,0,134.5,1,3
339,1,3,1,45.0,0,0,8.05,3,3
340,0,1,1,45.0,0,0,35.5,3,3
341,1,2,1,2.0,1,1,26.0,3,1
342,1,1,2,24.0,3,2,263.0,3,2
343,0,2,1,28.0,0,0,13.0,3,2
344,0,2,1,25.0,0,0,13.0,3,2
345,0,2,1,36.0,0,0,13.0,3,3
346,1,2,2,24.0,0,0,13.0,3,2
347,1,2,2,40.0,0,0,13.0,3,3
348,1,3,2,,1,0,16.1,3,0
349,1,3,1,3.0,1,1,15.9,3,1
350,0,3,1,42.0,0,0,8.6625,3,3
351,0,3,1,23.0,0,0,9.225,3,2
352,0,1,1,,0,0,35.0,3,0
353,0,3,1,15.0,1,1,7.2292,1,2
354,0,3,1,25.0,1,0,17.8,3,2
355,0,3,1,,0,0,7.225,1,0
356,0,3,1,28.0,0,0,9.5,3,2
357,1,1,2,22.0,0,1,55.0,3,2
358,0,2,2,38.0,0,0,13.0,3,3
359,1,3,2,,0,0,7.8792,2,0
360,1,3,2,,0,0,7.8792,2,0
361,0,3,1,40.0,1,4,27.9,3,3
362,0,2,1,29.0,1,0,27.7208,1,2
363,0,3,2,45.0,0,1,14.4542,1,3
364,0,3,1,35.0,0,0,7.05,3,3
365,0,3,1,,1,0,15.5,2,0
366,0,3,1,30.0,0,0,7.25,3,2
367,1,1,2,60.0,1,0,75.25,1,3
368,1,3,2,,0,0,7.2292,1,0
369,1,3,2,,0,0,7.75,2,0
370,1,1,2,24.0,0,0,69.3,1,2
371,1,1,1,25.0,1,0,55.4417,1,2
372,0,3,1,18.0,1,0,6.4958,3,2
373,0,3,1,19.0,0,0,8.05,3,2
374,0,1,1,22.0,0,0,135.6333,1,2
375,0,3,2,3.0,3,1,21.075,3,1
376,1,1,2,,1,0,82.1708,1,0
377,1,3,2,22.0,0,0,7.25,3,2
378,0,1,1,27.0,0,2,211.5,1,2
379,0,3,1,20.0,0,0,4.0125,1,2
380,0,3,1,19.0,0,0,7.775,3,2
381,1,1,2,42.0,0,0,227.525,1,3
382,1,3,2,1.0,0,2,15.7417,1,1
383,0,3,1,32.0,0,0,7.925,3,2
384,1,1,2,35.0,1,0,52.0,3,3
385,0,3,1,,0,0,7.8958,3,0
386,0,2,1,18.0,0,0,73.5,3,2
387,0,3,1,1.0,5,2,46.9,3,1
388,1,2,2,36.0,0,0,13.0,3,3
389,0,3,1,,0,0,7.7292,2,0
390,1,2,2,17.0,0,0,12.0,1,2
391,1,1,1,36.0,1,2,120.0,3,3
392,1,3,1,21.0,0,0,7.7958,3,2
393,0,3,1,28.0,2,0,7.925,3,2
394,1,1,2,23.0,1,0,113.275,1,2
395,1,3,2,24.0,0,2,16.7,3,2
396,0,3,1,22.0,0,0,7.7958,3,2
397,0,3,2,31.0,0,0,7.8542,3,2
398,0,2,1,46.0,0,0,26.0,3,3
399,0,2,1,23.0,0,0,10.5,3,2
400,1,2,2,28.0,0,0,12.65,3,2
401,1,3,1,39.0,0,0,7.925,3,3
402,0,3,1,26.0,0,0,8.05,3,2
403,0,3,2,21.0,1,0,9.825,3,2
404,0,3,1,28.0,1,0,15.85,3,2
405,0,3,2,20.0,0,0,8.6625,3,2
406,0,2,1,34.0,1,0,21.0,3,2
407,0,3,1,51.0,0,0,7.75,3,3
408,1,2,1,3.0,1,1,18.75,3,1
409,0,3,1,21.0,0,0,7.775,3,2
410,0,3,2,,3,1,25.4667,3,0
411,0,3,1,,0,0,7.8958,3,0
412,0,3,1,,0,0,6.8583,2,0
413,1,1,2,33.0,1,0,90.0,2,2
414,0,2,1,,0,0,0.0,3,0
415,1,3,1,44.0,0,0,7.925,3,3
416,0,3,2,,0,0,8.05,3,0
417,1,2,2,34.0,1,1,32.5,3,2
418,1,2,2,18.0,0,2,13.0,3,2
419,0,2,1,30.0,0,0,13.0,3,2
420,0,3,2,10.0,0,2,24.15,3,1
421,0,3,1,,0,0,7.8958,1,0
422,0,3,1,21.0,0,0,7.7333,2,2
423,0,3,1,29.0,0,0,7.875,3,2
424,0,3,2,28.0,1,1,14.4,3,2
425,0,3,1,18.0,1,1,20.2125,3,2
426,0,3,1,,0,0,7.25,3,0
427,1,2,2,28.0,1,0,26.0,3,2
428,1,2,2,19.0,0,0,26.0,3,2
429,0,3,1,,0,0,7.75,2,0
430,1,3,1,32.0,0,0,8.05,3,2
431,1,1,1,28.0,0,0,26.55,3,2
432,1,3,2,,1,0,16.1,3,0
433,1,2,2,42.0,1,0,26.0,3,3
434,0,3,1,17.0,0,0,7.125,3,2
435,0,1,1,50.0,1,0,55.9,3,3
436,1,1,2,14.0,1,2,120.0,3,1
437,0,3,2,21.0,2,2,34.375,3,2
438,1,2,2,24.0,2,3,18.75,3,2
439,0,1,1,64.0,1,4,263.0,3,3
440,0,2,1,31.0,0,0,10.5,3,2
441,1,2,2,45.0,1,1,26.25,3,3
442,0,3,1,20.0,0,0,9.5,3,2
443,0,3,1,25.0,1,0,7.775,3,2
444,1,2,2,28.0,0,0,13.0,3,2
445,1,3,1,,0,0,8.1125,3,0
446,1,1,1,4.0,0,2,81.8583,3,1
